BestPriceMatch,Time,Id,FirstId,LastId,BuyerMaker,Price,Quantity
True,2020-07-18 02:53:27.810,163458908,182261958,182261958,False,0.02548200,0.06600000
True,2020-07-18 02:53:28.795,163458909,182261959,182261959,True,0.02548100,0.45000000
True,2020-07-18 02:53:28.852,163458910,182261960,182261960,False,0.02548300,0.06600000
True,2020-07-18 02:53:28.889,163458911,182261961,182261961,True,0.02548100,1.39000000
True,2020-07-18 02:53:28.991,163458912,182261962,182261962,True,0.02548100,0.21400000
True,2020-07-18 02:53:29.948,163458913,182261963,182261963,True,0.02548100,5.10200000
True,2020-07-18 02:53:30.052,163458914,182261964,182261965,True,0.02548200,10.78600000
True,2020-07-18 02:53:36.359,163458915,182261966,182261966,True,0.02548300,1.39100000
True,2020-07-18 02:53:37.095,163458916,182261967,182261967,True,0.02548300,0.35900000
True,2020-07-18 02:53:42.487,163458917,182261968,182261968,True,0.02548300,0.00700000
True,2020-07-18 02:53:42.894,163458918,182261969,182261969,False,0.02548400,0.18200000
True,2020-07-18 02:53:47.979,163458919,182261970,182261970,False,0.02548700,0.02900000
True,2020-07-18 02:53:49.877,163458920,182261971,182261972,True,0.02548500,0.53000000
True,2020-07-18 02:53:49.877,163458921,182261973,182261973,True,0.02548400,1.63900000
True,2020-07-18 02:53:49.944,163458922,182261974,182261975,True,0.02548500,0.46200000
True,2020-07-18 02:53:49.944,163458923,182261976,182261976,True,0.02548400,1.56800000
True,2020-07-18 02:53:52.966,163458924,182261977,182261977,True,0.02548700,0.29100000
True,2020-07-18 02:53:52.966,163458925,182261978,182261978,True,0.02548600,0.41900000
True,2020-07-18 02:53:55.079,163458926,182261979,182261979,False,0.02548900,0.02000000
True,2020-07-18 02:53:56.597,163458927,182261980,182261980,True,0.02548700,0.30100000
True,2020-07-18 02:53:58.998,163458928,182261981,182261981,True,0.02548700,0.00100000
True,2020-07-18 02:53:58.998,163458929,182261982,182261982,True,0.02548600,0.19000000
True,2020-07-18 02:53:59.693,163458930,182261983,182261983,False,0.02548900,5.17700000
True,2020-07-18 02:54:00.228,163458931,182261984,182261984,False,0.02548900,0.49900000
True,2020-07-18 02:54:00.463,163458932,182261985,182261985,True,0.02548500,0.05700000
True,2020-07-18 02:54:13.798,163458933,182261986,182261986,False,0.02548800,0.06700000
True,2020-07-18 02:54:14.836,163458934,182261987,182261988,False,0.02548900,0.05000000
True,2020-07-18 02:54:15.169,163458935,182261989,182261989,False,0.02548900,16.21800000
True,2020-07-18 02:54:16.467,163458936,182261990,182261990,True,0.02548700,0.26800000
True,2020-07-18 02:54:16.467,163458937,182261991,182261991,True,0.02548600,1.18900000
True,2020-07-18 02:54:18.018,163458938,182261992,182261992,True,0.02548700,0.25700000
True,2020-07-18 02:54:18.018,163458939,182261993,182261993,True,0.02548600,0.24300000
True,2020-07-18 02:54:21.069,163458940,182261994,182261994,False,0.02548900,0.01300000
True,2020-07-18 02:54:25.029,163458941,182261995,182261995,False,0.02548900,0.40700000
True,2020-07-18 02:54:26.840,163458942,182261996,182261996,False,0.02548800,0.21400000
True,2020-07-18 02:54:45.443,163458943,182261997,182261997,False,0.02548900,0.66900000
True,2020-07-18 02:54:46.560,163458944,182261998,182261998,False,0.02548900,5.00000000
True,2020-07-18 02:54:47.632,163458945,182261999,182261999,False,0.02548900,10.46300000
True,2020-07-18 02:54:49.300,163458946,182262000,182262000,False,0.02549000,1.00000000
True,2020-07-18 02:54:49.726,163458947,182262001,182262001,False,0.02549100,1.00000000
True,2020-07-18 02:54:52.481,163458948,182262002,182262002,True,0.02548900,0.23400000
True,2020-07-18 02:54:52.656,163458949,182262003,182262003,False,0.02549100,0.00400000
True,2020-07-18 02:54:52.656,163458950,182262004,182262004,False,0.02549200,0.09200000
True,2020-07-18 02:54:55.510,163458951,182262005,182262005,True,0.02548900,0.00900000
True,2020-07-18 02:54:59.559,163458952,182262006,182262006,True,0.02548900,1.84400000
True,2020-07-18 02:55:00.439,163458953,182262007,182262007,True,0.02548900,0.06400000
True,2020-07-18 02:55:03.191,163458954,182262008,182262008,False,0.02549200,0.16000000
True,2020-07-18 02:55:04.205,163458955,182262009,182262009,False,0.02549200,0.00500000
True,2020-07-18 02:55:04.786,163458956,182262010,182262010,False,0.02549200,0.08800000
True,2020-07-18 02:55:07.943,163458957,182262011,182262011,True,0.02548900,0.54500000
True,2020-07-18 02:55:15.214,163458958,182262012,182262012,True,0.02548900,0.06300000
True,2020-07-18 02:55:18.105,163458959,182262013,182262013,False,0.02549000,0.12700000
True,2020-07-18 02:55:21.102,163458960,182262014,182262014,True,0.02548700,0.01900000
True,2020-07-18 02:55:21.195,163458961,182262015,182262015,True,0.02548700,0.22900000
True,2020-07-18 02:55:21.687,163458962,182262016,182262016,False,0.02548800,0.54500000
True,2020-07-18 02:55:22.527,163458963,182262017,182262017,True,0.02548700,0.00400000
True,2020-07-18 02:55:27.342,163458964,182262018,182262018,True,0.02548700,0.10500000
True,2020-07-18 02:55:32.793,163458965,182262019,182262019,False,0.02548800,0.60800000
True,2020-07-18 02:55:35.038,163458966,182262020,182262020,False,0.02548800,0.39200000
True,2020-07-18 02:55:35.833,163458967,182262021,182262021,False,0.02548800,1.71300000
True,2020-07-18 02:55:35.937,163458968,182262022,182262022,False,0.02548800,0.54500000
True,2020-07-18 02:55:38.391,163458969,182262023,182262023,False,0.02548900,0.00400000
True,2020-07-18 02:55:38.391,163458970,182262024,182262024,False,0.02549000,0.00400000
True,2020-07-18 02:55:40.988,163458971,182262025,182262026,False,0.02549100,0.39200000
True,2020-07-18 02:55:42.420,163458972,182262027,182262027,True,0.02548900,0.00400000
True,2020-07-18 02:55:42.420,163458973,182262028,182262028,True,0.02548800,0.00400000
True,2020-07-18 02:55:45.312,163458974,182262029,182262029,False,0.02549100,0.02000000
True,2020-07-18 02:55:46.955,163458975,182262030,182262032,True,0.02548800,3.20300000
True,2020-07-18 02:55:46.955,163458976,182262033,182262033,True,0.02548700,1.04500000
True,2020-07-18 02:55:47.360,163458977,182262034,182262034,True,0.02548700,0.12000000
