OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,NumberTrades,BaseVolumne,QuoteVolumne,Ignored
2020-07-17 03:23:00,0.00188430,0.00188440,0.00188390,0.00188390,355.90000000,2020-07-17 03:23:59.999,0.67060317,22,298.35000000,0.56216201,0
2020-07-17 03:24:00,0.00188390,0.00188400,0.00188080,0.00188090,775.18000000,2020-07-17 03:24:59.999,1.45912632,77,293.86000000,0.55316466,0
2020-07-17 03:25:00,0.00188060,0.00188170,0.00188000,0.00188140,287.94000000,2020-07-17 03:25:59.999,0.54164107,32,232.27000000,0.43693749,0
2020-07-17 03:26:00,0.00188150,0.00188290,0.00188100,0.00188260,276.13000000,2020-07-17 03:26:59.999,0.51973005,24,215.40000000,0.40540723,0
2020-07-17 03:27:00,0.00188250,0.00188470,0.00188140,0.00188150,583.63000000,2020-07-17 03:27:59.999,1.09893662,32,278.74000000,0.52490509,0
2020-07-17 03:28:00,0.00188140,0.00188300,0.00188140,0.00188300,269.08000000,2020-07-17 03:28:59.999,0.50655374,33,178.82000000,0.33664764,0
2020-07-17 03:29:00,0.00188280,0.00188300,0.00188110,0.00188110,300.12000000,2020-07-17 03:29:59.999,0.56493104,19,245.39000000,0.46194017,0
2020-07-17 03:30:00,0.00188230,0.00188590,0.00188220,0.00188320,857.21000000,2020-07-17 03:30:59.999,1.61480082,57,520.92000000,0.98127156,0
2020-07-17 03:31:00,0.00188310,0.00188420,0.00188280,0.00188280,315.00000000,2020-07-17 03:31:59.999,0.59326914,16,188.67000000,0.35537037,0
2020-07-17 03:32:00,0.00188340,0.00188410,0.00188230,0.00188290,374.93000000,2020-07-17 03:32:59.999,0.70597894,27,193.64000000,0.36468514,0
2020-07-17 03:33:00,0.00188330,0.00188410,0.00188290,0.00188400,416.28000000,2020-07-17 03:33:59.999,0.78416911,26,334.84000000,0.63074857,0
2020-07-17 03:34:00,0.00188420,0.00188450,0.00188390,0.00188440,307.90000000,2020-07-17 03:34:59.999,0.58011180,19,193.19000000,0.36398446,0
2020-07-17 03:35:00,0.00188400,0.00188470,0.00188300,0.00188380,396.55000000,2020-07-17 03:35:59.999,0.74712155,27,258.30000000,0.48666500,0
2020-07-17 03:36:00,0.00188340,0.00188340,0.00188240,0.00188240,414.63000000,2020-07-17 03:36:59.999,0.78067264,18,273.58000000,0.51515773,0
2020-07-17 03:37:00,0.00188270,0.00188270,0.00188240,0.00188250,82.17000000,2020-07-17 03:37:59.999,0.15468580,10,43.65000000,0.08217556,0
2020-07-17 03:38:00,0.00188260,0.00188330,0.00188220,0.00188330,577.89000000,2020-07-17 03:38:59.999,1.08775514,20,158.32000000,0.29803483,0
