__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,twitteratiScore,updatedAt,username
0,5ef01d0fbd5fce0019443b0c,3.261935314328648,59d21e9b83a0523906a45db3,2020-06-22T02:53:03.595Z,9,['dApp'],73739.72563901803,1274896627010953218,False,en,['https://twitter.com/i/web/status/1274896627010953218'],[],2020-06-22T02:46:56.000Z,4,[],0,2020-06-22T02:53:03.595Z,NEO_Blockchain
0,5eed854aa556cf001a2e47b4,4.499809670330265,59d21e9b83a0523906a45db3,2020-06-20T03:40:58.974Z,0,[],73733.10309670737,1274184497123127298,True,en,[],['NEOnewstoday'],2020-06-20T03:37:11.000Z,20,[],0,2020-06-20T03:40:58.974Z,NEO_Blockchain
0,5eed854aa556cf001a2e47b3,3.58351893845611,59d21e9b83a0523906a45db3,2020-06-20T03:40:58.974Z,0,[],73732.18643560512,1274184462725570561,True,en,[],"['NEOnewstoday', 'Moonlightdotio']",2020-06-20T03:37:03.000Z,8,[],0,2020-06-20T03:40:58.974Z,NEO_Blockchain
0,5eee1651b4edbd0019fc1a0c,2.6026896854443837,59d21e9b83a0523906a45db3,2020-06-20T13:59:46.160Z,0,[],73731.92870820397,1274249971944972289,True,en,['https://cointelegraph.com/news/http-has-its-problems-so-can-this-new-protocol-fix-the-internet'],"['DSP_Labs', 'Cointelegraph']",2020-06-20T07:57:22.000Z,3,[],0,2020-06-20T13:59:46.160Z,dahongfei
0,5eec26d95ef3c0001933a735,2.8390784635086144,59d21e9b83a0523906a45db3,2020-06-19T02:45:46.386Z,9,[],73727.27824513018,1273807239631876097,False,en,['https://twitter.com/i/web/status/1273807239631876097'],"['OKEx', 'NEO_Blockchain']",2020-06-19T02:38:06.000Z,2,[],0,2020-06-19T02:45:46.386Z,NEO_Blockchain
0,5eeb7a87f9c78f00196fdf26,4.3134800921387715,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,48,"['O3', 'AMA']",73725.9751467588,1273555605488189442,False,en,['https://twitter.com/i/web/status/1273555605488189442'],['O3_Labs'],2020-06-18T09:58:12.000Z,7,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a88f9c78f00196fdf2c,3.58351893845611,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.666Z,0,['BlockDown2020'],73725.6953707903,1273596391231635463,True,en,[],"['NEO_Blockchain', 'john_devadoss']",2020-06-18T12:40:16.000Z,8,[],0,2020-06-18T14:30:32.666Z,dahongfei
0,5eeb7a88f9c78f00196fdf29,3.261935314328648,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.666Z,14,[],73725.40804642544,1273599492990758913,False,en,['https://twitter.com/i/web/status/1273599492990758913'],[],2020-06-18T12:52:36.000Z,3,[],0,2020-06-18T14:30:32.666Z,dahongfei
0,5eeb7a87f9c78f00196fdf22,5.018603463745433,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,63,[],73722.49341827857,1273176289424355334,False,en,['https://twitter.com/i/web/status/1273176289424355334'],[],2020-06-17T08:50:56.000Z,21,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a87f9c78f00196fdf27,5.547128664610824,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,0,[],73721.96546199794,1273080575276879873,True,en,[],['O3_Labs'],2020-06-17T02:30:36.000Z,57,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a88f9c78f00196fdf2b,4.630837932736669,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.666Z,59,[],73721.4800045994,1273119608753577985,False,en,['https://twitter.com/i/web/status/1273119608753577985'],[],2020-06-17T05:05:42.000Z,11,[],0,2020-06-18T14:30:32.666Z,dahongfei
0,5eeb7a87f9c78f00196fdf23,4.59511985013459,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,0,[],73721.01141614643,1273080389968355329,True,en,[],['NEOnewstoday'],2020-06-17T02:29:52.000Z,22,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a87f9c78f00196fdf24,4.394449154672439,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,50,['BlockDown2020'],73720.84843063615,1273083803800502272,False,en,['https://twitter.com/i/web/status/1273083803800502272'],['john_devadoss'],2020-06-17T02:43:26.000Z,8,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a87f9c78f00196fdf21,3.919991175077323,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.267Z,36,[],73720.36175043434,1273082697682784257,False,en,['https://twitter.com/john_devadoss/status/1272702904806240256'],"['john_devadoss', 'cloud_cred']",2020-06-17T02:39:02.000Z,4,[],0,2020-06-18T14:30:32.267Z,NEO_Blockchain
0,5eeb7a88f9c78f00196fdf28,3.449987545831587,59d21e9b83a0523906a45db3,2020-06-18T14:30:32.363Z,0,[],73719.8702190273,1273080746698133504,True,en,[],"['IntWorkAll', 'HiroMarleyG']",2020-06-17T02:31:17.000Z,7,[],0,2020-06-18T14:30:32.363Z,NEO_Blockchain
0,5ee8f711d28c320019864833,0.5877866649021191,59d21e9b83a0523906a45db3,2020-06-16T16:45:05.394Z,2,[],73715.37408296119,1272932716426563584,False,en,['https://twitter.com/i/web/status/1272932716426563584'],[],2020-06-16T16:43:04.000Z,0,[],0,2020-06-16T16:45:05.394Z,dahongfei
0,5ee7a9fcd28c3200197bdc38,2.1972245773362196,59d21e9b83a0523906a45db3,2020-06-15T17:03:56.590Z,5,[],73713.0127338366,1272572976714575873,False,en,['https://twitter.com/i/web/status/1272572976714575873'],[],2020-06-15T16:53:35.000Z,1,[],0,2020-06-15T17:03:56.590Z,dahongfei
