blockNumber,timeStamp,blockMiner,blockReward,uncleInclusionReward,uncles_miner,uncles_unclePosition,uncles_blockreward
2165403,1472533979,0x13a06d3dfe21e0db5c016c03ea7d2509f7f8d1e3,5314181600000000000,312500000000000000,3750000000000000000,0xbcdfc35b86bedf72f0cda046a3c16829a2ef41d1,0
2165403,1472533979,0x13a06d3dfe21e0db5c016c03ea7d2509f7f8d1e3,5314181600000000000,312500000000000000,3750000000000000000,0x0d0c9855c722ff0c78f21e43aa275a5b8ea60dce,1
